parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Muribaculaceae	0.56065	13225.2941	0.057515
growth_rate	NA	Faecalibaculum	0.38429	13225.2941	0.084317
growth_rate	NA	Bacteroides-acidifaciens	0.0086566	13225.2941	0.079016
growth_rate	NA	Akkermansia-muciniphila	0.20919	13225.2941	0.07756
growth_rate	NA	Parasutterella	0.3322	13225.2941	0.080479
growth_rate	NA	Bacteroides	0.051573	13225.2941	0.058392
growth_rate	NA	Lachnospiraceae-NK4A136-group	0.3751	13225.2941	0.051712
growth_rate	NA	Alloprevotella	0.014555	13225.2941	0.023764
growth_rate	NA	Parabacteroides-goldsteinii	0.02969	13225.2941	0.057148
growth_rate	NA	Lachnospiraceae	0.41674	13225.2941	0.061327
interaction	Muribaculaceae	Muribaculaceae	-2.6954e-08	13225.2941	2.622e-09
interaction	Muribaculaceae	Faecalibaculum	0	0.00022227	1.4564e-10
interaction	Muribaculaceae	Bacteroides-acidifaciens	0	0.0013351	3.0824e-10
interaction	Muribaculaceae	Akkermansia-muciniphila	0	0.0011569	3.5662e-10
interaction	Muribaculaceae	Parasutterella	0	0.00031121	1.6184e-10
interaction	Muribaculaceae	Bacteroides	0	0.00044464	1.4689e-10
interaction	Muribaculaceae	Lachnospiraceae-NK4A136-group	0	0.00040016	1.2632e-10
interaction	Muribaculaceae	Alloprevotella	0	4.4446e-05	2.5856e-11
interaction	Muribaculaceae	Parabacteroides-goldsteinii	0	0.11403	3.2569e-09
interaction	Muribaculaceae	Lachnospiraceae	0	0.00026674	9.0117e-11
interaction	Faecalibaculum	Muribaculaceae	0	0.0037025	6.8688e-10
interaction	Faecalibaculum	Faecalibaculum	-6.8136e-08	13225.2941	1.0473e-08
interaction	Faecalibaculum	Bacteroides-acidifaciens	0	1.1593	1.3524e-08
interaction	Faecalibaculum	Akkermansia-muciniphila	-7.1114e-08	13225.2941	9.4357e-09
interaction	Faecalibaculum	Parasutterella	-4.4978e-08	1322.5294	9.288e-09
interaction	Faecalibaculum	Bacteroides	0	0.00053362	2.7549e-10
interaction	Faecalibaculum	Lachnospiraceae-NK4A136-group	0	0.00035568	1.2044e-10
interaction	Faecalibaculum	Alloprevotella	0	0.00053362	1.3208e-10
interaction	Faecalibaculum	Parabacteroides-goldsteinii	0	0.00031121	1.061e-10
interaction	Faecalibaculum	Lachnospiraceae	0	8.8897e-05	3.8215e-11
interaction	Bacteroides-acidifaciens	Muribaculaceae	0	0.00013335	3.3927e-11
interaction	Bacteroides-acidifaciens	Faecalibaculum	0	0.00097873	5.1725e-10
interaction	Bacteroides-acidifaciens	Bacteroides-acidifaciens	-2.1324e-08	13225.2941	4.908e-09
interaction	Bacteroides-acidifaciens	Akkermansia-muciniphila	0	0.00044464	1.0573e-10
interaction	Bacteroides-acidifaciens	Parasutterella	0	0.00022227	1.1099e-10
interaction	Bacteroides-acidifaciens	Bacteroides	0	0.072399	4.8973e-09
interaction	Bacteroides-acidifaciens	Lachnospiraceae-NK4A136-group	0	0.00026674	1.322e-10
interaction	Bacteroides-acidifaciens	Alloprevotella	0	0.00022227	1.9103e-10
interaction	Bacteroides-acidifaciens	Parabacteroides-goldsteinii	0	0.00031121	9.1146e-11
interaction	Bacteroides-acidifaciens	Lachnospiraceae	0	0.00017781	5.432e-11
interaction	Akkermansia-muciniphila	Muribaculaceae	0	4.4446e-05	8.5283e-12
interaction	Akkermansia-muciniphila	Faecalibaculum	0	0.00026674	1.7898e-10
interaction	Akkermansia-muciniphila	Bacteroides-acidifaciens	0	0.00017781	7.7829e-11
