sampleID	Subject	Time
1	1	1
2	1	2
3	1	3
4	1	7
5	1	11
6	1	15
7	1	20
8	1	25
9	2	1
10	2	2
11	2	3
12	2	7
13	2	11
14	2	15
15	2	20
16	2	25
17	3	1
18	3	2
19	3	3
20	3	7
21	3	11
22	3	15
23	3	20
24	3	25
25	4	1
26	4	2
27	4	3
28	4	7
29	4	11
30	4	15
31	4	20
32	4	25
33	5	1
34	5	2
35	5	3
36	5	7
37	5	11
38	5	15
39	5	20
40	5	25
41	6	1
42	6	2
43	6	3
44	6	7
45	6	11
46	6	15
47	6	20
48	6	25
49	7	1
50	7	2
51	7	3
52	7	7
53	7	11
54	7	15
55	7	20
56	7	25
57	8	1
58	8	2
59	8	3
60	8	7
61	8	11
62	8	15
63	8	20
64	8	25
65	9	1
66	9	2
67	9	3
68	9	7
69	9	11
70	9	15
71	9	20
72	9	25
73	10	1
74	10	2
75	10	3
76	10	7
77	10	11
78	10	15
79	10	20
80	10	25
