class	var	Estimate	Std.Error	df	t value	P_value
H1:Lipid metabolism	(Intercept)	5.30532519733777	0.235141788811587	83.9999999987273	22.5622388268415	2.09216762409372e-37
H1:Lipid metabolism	Porphyromonadaceae	0.0967144768587334	0.0657933889549546	83.9999999993577	1.46997256707583	0.145304934241406
H1:Lipid metabolism	Akkermansiaceae	0.178010991326563	0.0609338505243884	83.9999999989512	2.92138096960269	0.00447475192021278
H1:Lipid metabolism	Bacteroidaceae	-0.0813119085943048	0.0977971375889755	83.999999998875	-0.831434442754805	0.408085504188726
H1:Lipid metabolism	Prevotellaceae	-0.0270196826403146	0.0279845878893201	83.9999999986108	-0.965520119402089	0.337055919233332
H1:Lipid metabolism	Desulfovibrionaceae	0.000746493941442757	0.0217509428414484	83.999999998982	0.0343200727841666	0.97270334162418
H1:Amino acid metabolism	(Intercept)	5.78493691287624	0.22644902856322	83.9999999974137	25.5463092492852	2.2898416893796e-41
H1:Amino acid metabolism	Porphyromonadaceae	0.0829124582130148	0.0633611281517876	83.999999998076	1.30856979084069	0.194249180562356
H1:Amino acid metabolism	Akkermansiaceae	0.176214221004806	0.0586812379356376	83.9999999970115	3.00290565100348	0.00352211588418142
H1:Amino acid metabolism	Bacteroidaceae	-0.073538310314404	0.0941817569527469	83.9999999968086	-0.780812682771461	0.437107616024591
H1:Amino acid metabolism	Prevotellaceae	-0.0229028006599408	0.0269500490504319	83.9999999971395	-0.84982408073108	0.397838591634729
H1:Amino acid metabolism	Desulfovibrionaceae	0.00230534193885618	0.0209468504159708	83.9999999972607	0.110056733736853	0.912626896259074
H2:Lipid metabolism	(Intercept)	6.60394848235176	0.1666496483161	220.999999995341	39.6277372864625	2.16907713435201e-102
H2:Lipid metabolism	Ruminococcaceae	-0.0415424768575915	0.0132038883832409	220.999999996596	-3.14623053844649	0.00188151349692998
H2:Lipid metabolism	Akkermansiaceae	-0.00330095557997587	0.00672108888948072	220.999999995129	-0.49113404602374	0.623819005923947
H2:Lipid metabolism	Acidaminococcaceae	0.00148088101094526	0.0154920862826643	220.999999996072	0.0955895147964916	0.923933212523564
H2:Lipid metabolism	Porphyromonadaceae	0.0569500103360329	0.0299342653178488	220.999999996773	1.90250235745975	0.0584055382429157
H2:Lipid metabolism	Lachnospiraceae	-0.0587553920081978	0.0149447327886453	220.999999995143	-3.93151171313275	0.000112964839475787
H2:Amino acid metabolism	(Intercept)	6.98397746236276	0.147541323063096	221.000000002166	47.3357383366831	1.18548211438447e-117
H2:Amino acid metabolism	Ruminococcaceae	-0.0191422410348242	0.0116899086276236	220.999999999988	-1.63750133936809	0.102948813144761
H2:Amino acid metabolism	Akkermansiaceae	-0.000188513822000729	0.00595043768287906	221.000000001842	-0.0316806648598525	0.974755306880414
H2:Amino acid metabolism	Acidaminococcaceae	0.00561371151621111	0.0137157379583328	221.000000001032	0.409289790550468	0.682723397260382
H2:Amino acid metabolism	Porphyromonadaceae	0.0472861832526259	0.0265019527766414	220.999999999738	1.78425279265849	0.0757544829591187
H2:Amino acid metabolism	Lachnospiraceae	-0.0575454814568473	0.0132311449243433	220.999999999978	-4.3492442858042	2.08604540203187e-05
UC1:Lipid metabolism	(Intercept)	6.21572359948165	0.25052836342716	103.999999998869	24.8104586420964	1.75336794373178e-45
UC1:Lipid metabolism	Lachnospiraceae	0.0946607136630147	0.0756435587340969	103.999999999593	1.25140481552127	0.213594374896678
UC1:Lipid metabolism	Porphyromonadaceae	0.35733227741836	0.0584634756876554	103.999999999441	6.11206010616661	1.73695180103243e-08
UC1:Lipid metabolism	Desulfovibrionaceae	0.01872852507267	0.00895702340453419	103.99999999964	2.09093180031095	0.0389710796245663
UC1:Lipid metabolism	Ruminococcaceae	0.233220189662915	0.0636061553112903	103.999999999597	3.66662925186295	0.000389170907745466
UC1:Lipid metabolism	Bacteroidaceae	-0.565328165231224	0.108864329654923	103.999999998534	-5.19296051354189	1.03346754329172e-06
UC1:Amino acid metabolism	(Intercept)	6.6733634505421	0.246512960295028	104.000000000586	27.0710450377756	6.74378600665763e-49
UC1:Amino acid metabolism	Lachnospiraceae	0.114205300982718	0.0744311635445405	104.000000000223	1.5343747906665	0.127974107978926
UC1:Amino acid metabolism	Porphyromonadaceae	0.346221241611472	0.0575264383790642	104.000000000022	6.01847170391612	2.67008337203536e-08
UC1:Amino acid metabolism	Desulfovibrionaceae	0.0179664530054786	0.00881346257437052	104.000000000313	2.03852377585682	0.0440348594675452
UC1:Amino acid metabolism	Ruminococcaceae	0.256392955218514	0.0625866924777573	104.000000000436	4.0966049661377	8.31852700330841e-05
UC1:Amino acid metabolism	Bacteroidaceae	-0.582512028747078	0.107119480631468	104.000000000465	-5.43796539446588	3.58946193656229e-07
UC2:Lipid metabolism	(Intercept)	6.09468750677721	0.0238438488186005	236.044826137428	255.608377369964	2.00358090776602e-290
UC2:Lipid metabolism	Enterobacteriaceae	0.00428266288032978	0.00296737312428596	275.735808818971	1.44325054550068	0.150084996866957
UC2:Lipid metabolism	Acidaminococcaceae	0.00670176549469027	0.00308973784054671	276.989848068616	2.16904017122192	0.030930342062382
UC2:Lipid metabolism	Ruminococcaceae	0.0132501210922416	0.0036755978672034	276.813589441084	3.60488866599626	0.00037026425963044
UC2:Lipid metabolism	Prevotellaceae	0.00263274463712189	0.00317032457395015	273.879330973175	0.830433785472493	0.407016875141829
UC2:Lipid metabolism	Desulfovibrionaceae	0.000662883974199097	0.00280432806243586	276.409137276425	0.236378896990857	0.813313739415301
UC2:Amino acid metabolism	(Intercept)	6.63215887474224	0.0234966905271321	241.674768840805	282.259276772785	1.88439410183076e-306
UC2:Amino acid metabolism	Enterobacteriaceae	0.00482110229399814	0.0029330934563277	275.956025453787	1.64369201519896	0.101378619018497
UC2:Amino acid metabolism	Acidaminococcaceae	0.0059099626175558	0.00305273854616618	276.985744748078	1.93595439903555	0.0538906674653437
UC2:Amino acid metabolism	Ruminococcaceae	0.0140717227264962	0.00363208048357016	276.940509497614	3.87428714483343	0.000133536441708254
UC2:Amino acid metabolism	Prevotellaceae	0.0010967509088914	0.00313454332710863	274.013332599256	0.349891768732726	0.726688703957489
UC2:Amino acid metabolism	Desulfovibrionaceae	-1.06947514594637e-05	0.00276973705314101	275.800467258143	-0.00386128764365386	0.99692193726398
